,index,Symbol,Security,Sector,GICS Sub-Industry,Open,Low,Close,High,beta,forwardPE,averageVolume,marketCap,Trailing PE
182,182,EXR,Extra Space Storage,Real Estate,Specialized REITs,"0    111.25
Name: Open, dtype: float64","0    110.57
Name: Low, dtype: float64","0    114.809998
Name: Close, dtype: float64","0    115.190002
Name: High, dtype: float64",0.186974,31.283377,982503,15081211904,34.088478
183,183,XOM,Exxon Mobil Corp.,Energy,Integrated Oil & Gas,"0    49.110001
Name: Open, dtype: float64","0    48.990002
Name: Low, dtype: float64","0    49.529999
Name: Close, dtype: float64","0    49.740002
Name: High, dtype: float64",1.344012,26.345743,31917575,209424220160,63.66324
184,184,FFIV,F5 Networks,Information Technology,Communications Equipment,"0    198.75
Name: Open, dtype: float64","0    197.470001
Name: Low, dtype: float64","0    198.649994
Name: Close, dtype: float64","0    199.800003
Name: High, dtype: float64",1.127626,17.051502,777424,12237455360,39.650695999999996
185,185,FB,"Facebook, Inc.",Communication Services,Interactive Media & Services,"0    268.929993
Name: Open, dtype: float64","0    263.600006
Name: Low, dtype: float64","0    267.480011
Name: Close, dtype: float64","0    270.320007
Name: High, dtype: float64",1.182773,25.498571,19126140,761860653056,30.471636
186,186,FAST,Fastenal Co,Industrials,Building Products,"0    50.0
Name: Open, dtype: float64","0    47.720001
Name: Low, dtype: float64","0    48.700001
Name: Close, dtype: float64","0    50.490002
Name: High, dtype: float64",1.195378,31.623379,2980251,27956381696,33.356163
187,187,FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,"0    87.82
Name: Open, dtype: float64","0    86.379997
Name: Low, dtype: float64","0    88.25
Name: Close, dtype: float64","0    89.419998
Name: High, dtype: float64",1.081932,48.22404,878679,6675856896,38.022404
188,188,FDX,FedEx Corporation,Industrials,Air Freight & Logistics,"0    251.190002
Name: Open, dtype: float64","0    247.619995
Name: Low, dtype: float64","0    251.960007
Name: Close, dtype: float64","0    252.350006
Name: High, dtype: float64",1.3103989999999999,13.4164,3114030,66787291136,27.206568
189,189,FIS,Fidelity National Information Services,Information Technology,Data Processing & Outsourced Services,"0    128.619995
Name: Open, dtype: float64","0    127.559998
Name: Low, dtype: float64","0    131.089996
Name: Close, dtype: float64","0    131.600006
Name: High, dtype: float64",0.811974,19.862122,3746825,81342521344,0.0
190,190,FITB,Fifth Third Bancorp,Financials,Regional Banks,"0    31.98
Name: Open, dtype: float64","0    31.24
Name: Low, dtype: float64","0    31.33
Name: Close, dtype: float64","0    32.060001
Name: High, dtype: float64",1.647058,12.735772,5433179,22320117760,15.641538
191,191,FE,FirstEnergy Corp,Utilities,Electric Utilities,"0    31.0
Name: Open, dtype: float64","0    30.700001
Name: Low, dtype: float64","0    31.33
Name: Close, dtype: float64","0    31.379999
Name: High, dtype: float64",0.186974,11.958015,6567396,16999345152,23.363163
192,192,FRC,First Republic Bank,Financials,Regional Banks,"0    154.869995
Name: Open, dtype: float64","0    153.679993
Name: Low, dtype: float64","0    155.589996
Name: Close, dtype: float64","0    155.800003
Name: High, dtype: float64",1.06355,21.46069,966030,26793996288,26.77969
193,193,FISV,Fiserv Inc,Information Technology,Data Processing & Outsourced Services,"0    107.68
Name: Open, dtype: float64","0    107.599998
Name: Low, dtype: float64","0    109.139999
Name: Close, dtype: float64","0    109.970001
Name: High, dtype: float64",0.845063,20.173752,4224183,72973189120,82.93313
194,194,FLT,FleetCor Technologies Inc,Information Technology,Data Processing & Outsourced Services,"0    267.820007
Name: Open, dtype: float64","0    264.820007
Name: Low, dtype: float64","0    267.630005
Name: Close, dtype: float64","0    269.339996
Name: High, dtype: float64",1.500525,21.089836,737532,22320771072,32.205776
195,195,FLIR,FLIR Systems,Information Technology,Electronic Equipment & Instruments,"0    54.439999
Name: Open, dtype: float64","0    54.029999
Name: Low, dtype: float64","0    54.119999
Name: Close, dtype: float64","0    54.439999
Name: High, dtype: float64",1.5210080000000001,23.227468000000002,2420775,7098000384,51.938576
196,196,FLS,Flowserve Corporation,Industrials,Industrial Machinery,"0    38.389999
Name: Open, dtype: float64","0    38.169998
Name: Low, dtype: float64","0    38.549999
Name: Close, dtype: float64","0    39.02
Name: High, dtype: float64",1.756827,23.506098,968870,5021638656,34.358288
197,197,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,"0    116.699997
Name: Open, dtype: float64","0    114.860001
Name: Low, dtype: float64","0    115.470001
Name: Close, dtype: float64","0    116.699997
Name: High, dtype: float64",0.997899,15.79617,602801,14983041024,30.211931
198,198,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,"0    10.23
Name: Open, dtype: float64","0    10.19
Name: Low, dtype: float64","0    10.86
Name: Close, dtype: float64","0    10.87
Name: High, dtype: float64",1.273634,10.54369,69302954,43205746688,0.0
199,199,FTNT,Fortinet,Information Technology,Systems Software,"0    150.0
Name: Open, dtype: float64","0    149.139999
Name: Low, dtype: float64","0    150.289993
Name: Close, dtype: float64","0    152.130005
Name: High, dtype: float64",1.094537,41.402203,1179580,24396875776,56.09929
200,200,FTV,Fortive Corp,Industrials,Industrial Machinery,"0    70.339996
Name: Open, dtype: float64","0    70.0
Name: Low, dtype: float64","0    70.199997
Name: Close, dtype: float64","0    70.900002
Name: High, dtype: float64",1.21635,29.008263,1971569,23671158784,45.912357
201,201,FBHS,Fortune Brands Home & Security,Industrials,Building Products,"0    88.769997
Name: Open, dtype: float64","0    88.620003
Name: Low, dtype: float64","0    91.849998
Name: Close, dtype: float64","0    91.940002
Name: High, dtype: float64",1.658613,19.296217,1012308,12760627200,26.101164
202,202,FOXA,Fox Corporation (Class A),Communication Services,Movies & Entertainment,"0    30.030001
Name: Open, dtype: float64","0    30.030001
Name: Low, dtype: float64","0    31.02
Name: Close, dtype: float64","0    31.27
Name: High, dtype: float64",,12.765432,5247546,18244599808,11.8081455
203,203,FOX,Fox Corporation (Class B),Communication Services,Movies & Entertainment,"0    29.25
Name: Open, dtype: float64","0    29.24
Name: Low, dtype: float64","0    29.940001
Name: Close, dtype: float64","0    30.275
Name: High, dtype: float64",,12.740426,1614958,18116485120,11.397031
204,204,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,"0    27.15
Name: Open, dtype: float64","0    26.75
Name: Low, dtype: float64","0    27.030001
Name: Close, dtype: float64","0    27.280001
Name: High, dtype: float64",1.28939,8.747573,3908996,13674423296,17.0
205,205,FCX,Freeport-McMoRan Inc.,Materials,Copper,"0    31.969999
Name: Open, dtype: float64","0    30.91
Name: Low, dtype: float64","0    30.969999
Name: Close, dtype: float64","0    32.389999
Name: High, dtype: float64",2.266281,14.471962,19870419,44995383296,0.0
206,206,GPS,Gap Inc.,Consumer Discretionary,Apparel Retail,"0    21.99
Name: Open, dtype: float64","0    21.93
Name: Low, dtype: float64","0    22.219999
Name: Close, dtype: float64","0    22.49
Name: High, dtype: float64",1.524159,17.496063,9616048,8310923776,0.0
207,207,GRMN,Garmin Ltd.,Consumer Discretionary,Consumer Electronics,"0    122.889999
Name: Open, dtype: float64","0    122.690002
Name: Low, dtype: float64","0    123.980003
Name: Close, dtype: float64","0    125.0
Name: High, dtype: float64",0.986869,24.309805,809054,23709562880,23.273888
208,208,IT,Gartner Inc,Information Technology,IT Consulting & Other Services,"0    160.399994
Name: Open, dtype: float64","0    158.479996
Name: Low, dtype: float64","0    161.580002
Name: Close, dtype: float64","0    162.029999
Name: High, dtype: float64",1.569852,39.896294,394658,14426977280,68.11973
209,209,GD,General Dynamics,Industrials,Aerospace & Defense,"0    153.240005
Name: Open, dtype: float64","0    152.410004
Name: Low, dtype: float64","0    154.029999
Name: Close, dtype: float64","0    154.399994
Name: High, dtype: float64",,13.547053,1445991,44196134912,13.669684
